Formula,O-2p,Classify
CdAuO2,0.5,1
CsK2AuO2,0.502,1
KNa2AuO2,0.512,1
Li2PdO3,0.514,2
Ba4PtO6,0.516,2
Li5AuO4,0.516,2
CsAuO2,0.52,2
RbAuO2,0.52,2
Rb5Au3O2,0.52,2
NaAuO2,0.526,2
Au2O3,0.527,2
Na3AuO2,0.528,1
KAuO2,0.532,2
Ca4PdO6,0.536,2
Sr5(AuO4)2,0.536,2
Sr4PdO6,0.54,2
RbAgO,0.54,1
KCuO2,0.54,2
MoPbO4,0.544,0
AsAuO4,0.548,2
CsCuO2,0.548,2
NaBiO2,0.552,0
CsAgO,0.552,1
RbAgO2,0.556,2
Mg(CuO2)2,0.558,2
Ag2BiO3,0.56,0
Ba4PdO6,0.564,2
Na3AuO3,0.564,2
Li3AuO3,0.576,2
Sb2PbO6,0.578,0
KAgO2,0.58,2
CsAgO2,0.58,2
NaCuO2,0.584,2
Zn2PtO4,0.588,1
ZnO,0.588,1
As2PbO6,0.59,0
Sr4Cu2O7,0.594,2
HgO,0.602,1
SrBiO3,0.602,0
Ca(AgO2)2,0.604,2
LiCuO2,0.604,2
Ba2BiSbO6,0.608,0
Cs2HgO2,0.616,1
CdBiO3,0.616,0
BaHgO2,0.618,1
NaAgO2,0.622,2
Rb2HgO2,0.634,1
K2HgO2,0.64,1
CaCdO2,0.64,1
Ca(CuO2)2,0.644,2
SrHgO2,0.66,1
Na2HgO2,0.676,1
CaHgO2,0.682,1
LiAgO2,0.696,2
Cs2CrO4,0.7,3
CrCdO4,0.716,1
Li3CuO3,0.728,2
Rb2CrO4,0.728,3
RbLiCrO4,0.738,3
CaCrO4,0.752,3